일죽IC	fnSelectNode('N352I070','일죽IC','1');
임고하이패스IC	fnSelectNode('N20AI035','임고하이패스IC','1');
임실IC	fnSelectNode('N027I080','임실IC','1');
잠원IC	fnSelectNode('N001I520','잠원IC','1');
장검IC	fnSelectNode('N016I025','장검IC','1');
장성IC	fnSelectNode('N025I170','장성IC','1');
장성물류IC	fnSelectNode('N253I010','장성물류IC','1');
장수IC	fnSelectNode('N020I050','장수IC','1');
장수IC	fnSelectNode('N100I090','장수IC','1');
장안IC	fnSelectNode('N650I020','장안IC','1');
장안본선TG	fnSelectNode('N153T005','장안본선TG','1');
장유IC	fnSelectNode('N104I010','장유IC','1');
장지IC	fnSelectNode('N010I160','장지IC','1');
장흥IC	fnSelectNode('N10AI030','장흥IC','1');
전주IC	fnSelectNode('N025I260','전주IC','1');
점촌함창IC	fnSelectNode('N045I170','점촌함창IC','1');
정남IC	fnSelectNode('N017I060','정남IC','1');
정안IC	fnSelectNode('N025I360','정안IC','1');
정읍IC	fnSelectNode('N025I210','정읍IC','1');
제천IC	fnSelectNode('N055I180','제천IC','1');
조암IC	fnSelectNode('N153I010','조암IC','1');
조양IC	fnSelectNode('N060I070','조양IC','1');
줄포IC	fnSelectNode('N015I100','줄포IC','1');
중동IC	fnSelectNode('N100I070','중동IC','1');
증평IC	fnSelectNode('N352I030','증평IC','1');
지곡IC	fnSelectNode('N351I110','지곡IC','1');
지리산IC	fnSelectNode('N012I070','지리산IC','1');
지수IC	fnSelectNode('N010I140','지수IC','1');
진교IC	fnSelectNode('N010I060','진교IC','1');
진례IC	fnSelectNode('N010I230','진례IC','1');
진부IC	fnSelectNode('N050I290','진부IC','1');
진성IC	fnSelectNode('N010I130','진성IC','1');
진안IC	fnSelectNode('N020I040','진안IC','1');
진영IC	fnSelectNode('N600I010','진영IC','1');
진월IC	fnSelectNode('N010I040','진월IC','1');
진주IC	fnSelectNode('N010I110','진주IC','1');
진천IC	fnSelectNode('N352I040','진천IC','1');
진해IC	fnSelectNode('N105I030','진해IC','1');
창녕IC	fnSelectNode('N045I060','창녕IC','1');
창평IC	fnSelectNode('N025I080','창평IC','1');
천안IC	fnSelectNode('N001I360','천안IC','1');
청계TG	fnSelectNode('N100T170','청계TG','1');
청도IC	fnSelectNode('N55AI060','청도IC','1');
청량IC	fnSelectNode('N650I040','청량IC','1');
청북IC	fnSelectNode('N040I010','청북IC','1');
청송IC	fnSelectNode('N30AI110','청송IC','1');
청양IC	fnSelectNode('N151I040','청양IC','1');
청주IC	fnSelectNode('N001I330','청주IC','1');
청통와촌IC	fnSelectNode('N20AI020','청통와촌IC','1');
초정IC	fnSelectNode('N055I020','초정IC','1');
추부IC	fnSelectNode('N351I170','추부IC','1');
추풍령IC	fnSelectNode('N001I220','추풍령IC','1');
축동IC	fnSelectNode('N010I080','축동IC','1');
춘장대IC	fnSelectNode('N015I170','춘장대IC','1');
춘천IC	fnSelectNode('N055I260','춘천IC','1');
춘천TG	fnSelectNode('N055T260','춘천TG','1');
충주IC	fnSelectNode('N045I210','충주IC','1');
칠곡IC	fnSelectNode('N055I050','칠곡IC','1');
칠곡물류IC	fnSelectNode('N001I155','칠곡물류IC','1');
칠서IC	fnSelectNode('N045I030','칠서IC','1');
칠원TG	fnSelectNode('N045T010','칠원TG','1');
탄천IC	fnSelectNode('N025I330','탄천IC','1');
태인IC	fnSelectNode('N025I220','태인IC','1');
토평IC	fnSelectNode('N100I260','토평IC','1');
통도사IC	fnSelectNode('N001I050','통도사IC','1');
통도사하이패스IC	fnSelectNode('N001I045','통도사하이패스IC','1');
통영IC	fnSelectNode('N351I000','통영IC','1');
통일로IC	fnSelectNode('N100I360','통일로IC','1');
퇴계원IC	fnSelectNode('N100I300','퇴계원IC','1');
판교IC	fnSelectNode('N001I470','판교IC','1');
판암IC	fnSelectNode('N351I190','판암IC','1');
팔공산IC	fnSelectNode('N20AI000','팔공산IC','1');
평창IC	fnSelectNode('N050I270','평창IC','1');
평촌IC	fnSelectNode('N100I150','평촌IC','1');
평택고덕IC	fnSelectNode('N040I020','평택고덕IC','1');
포항IC	fnSelectNode('N20AI060','포항IC','1');
포항TG	fnSelectNode('N20AT050','포항TG','1');
풍기IC	fnSelectNode('N055I140','풍기IC','1');
하남IC	fnSelectNode('N352I150','하남IC','1');
하동IC	fnSelectNode('N010I050','하동IC','1');
하조대IC	fnSelectNode('N065I080','하조대IC','1');
한림IC	fnSelectNode('N600I020','한림IC','1');
함안IC	fnSelectNode('N010I170','함안IC','1');
함양IC	fnSelectNode('N012I080','함양IC','1');
함평IC	fnSelectNode('N015I050','함평IC','1');
해룡IC	fnSelectNode('N10AI090','해룡IC','1');
해미IC	fnSelectNode('N015I220','해미IC','1');
해운대송정IC	fnSelectNode('N650I000','해운대송정IC','1');
해운대송정TG	fnSelectNode('N650T005','해운대송정TG','1');
해인사IC	fnSelectNode('N012I120','해인사IC','1');
향남IC	fnSelectNode('N017I040','향남IC','1');
헌릉IC	fnSelectNode('N171I100','헌릉IC','1');
